58,n,acoustic,295679,96,0.938,0.732,0.225,0.296,0.292,0.545,0.076,0.485,True,129.0
59,W,latin,161152,59,0.131,0.156,0.341,0.2,0.995,0.228,0.278,0.948,False,139.0
60,E,dubstep,60001,89,0.547,0.226,0.263,0.879,0.26,0.179,0.511,0.313,False,90.0
61,M,indian,117691,6,0.441,0.896,0.618,0.225,0.516,0.932,0.339,0.866,False,71.0
62,b,metal,278291,50,0.66,0.653,0.324,0.577,0.477,0.691,0.966,0.169,False,84.0
63,d,dance,259756,75,0.757,0.877,0.629,0.508,0.415,0.266,0.367,0.812,False,94.0
64,X,r-n-b,111330,73,1.0,0.309,0.362,0.523,0.556,0.305,0.682,0.673,False,88.0
65,q,minimal-techno,206217,84,0.581,0.661,0.201,0.641,0.22,0.59,0.671,0.235,False,123.0
66,b,alternative,59189,77,0.778,0.606,0.591,0.312,0.304,0.112,0.84,0.969,False,103.0
67,i,disco,264339,15,0.823,0.786,0.827,0.986,0.231,0.752,0.571,0.898,True,95.0
68,o,romance,124974,53,0.184,0.673,0.729,0.712,0.583,0.975,0.657,0.404,False,74.0
69,C,metalcore,152997,41,0.478,0.474,0.436,0.026,0.838,0.232,0.472,0.256,False,92.0
70,Z,electro,109427,20,0.259,0.32,0.641,0.824,0.518,0.302,0.909,0.809,False,132.0
71,W,grindcore,253067,96,0.968,0.607,0.983,0.627,0.709,0.611,0.854,0.638,True,116.0
72,l,idm,81137,58,0.674,0.015,0.429,0.024,0.719,0.037,0.35,0.207,False,124.0
73,c,power-pop,72265,31,0.324,0.973,0.759,0.595,0.807,0.331,0.844,0.303,False,88.0
74,S,soul,256932,10,0.541,0.121,0.196,0.89,0.674,0.911,0.745,0.052,False,124.0
75,o,cantopop,182037,87,0.191,0.278,0.422,0.929,0.099,0.354,0.4,0.072,True,92.0
76,p,dub,215218,81,0.654,0.435,0.714,0.089,0.321,0.921,0.742,0.808,False,117.0
77,h,hardstyle,70839,99,0.139,0.385,0.694,0.907,0.174,0.28,0.342,0.484,False,80.0
78,G,hardstyle,112949,7,0.142,0.827,0.651,0.796,0.726,0.753,0.625,0.089,False,96.0
79,F,alt-rock,53459,21,0.58,0.144,0.074,0.137,0.285,0.315,0.082,0.075,False,87.0
80,Q,malay,141181,52,0.295,0.4,0.539,0.945,0.77,0.467,0.067,0.181,False,109.0
81,d,chicago-house,240946,22,0.346,0.054,0.195,0.753,0.689,0.911,0.937,0.394,False,75.0
82,C,r-n-b,313764,71,0.856,0.739,0.313,0.656,0.086,0.043,0.134,0.131,True,136.0
83,r,j-dance,103208,81,0.25,0.252,0.381,0.995,0.951,0.029,0.377,0.642,False,101.0
84,W,power-pop,44765,85,0.474,0.78,0.195,0.345,0.443,0.607,0.638,0.85,False,106.0
85,c,groove,244343,41,0.78,0.272,0.911,0.791,0.046,0.213,0.939,0.164,False,104.0
86,w,british,97425,74,0.853,0.98,0.185,0.956,0.444,0.26,0.496,0.972,False,107.0
87,W,tango,78641,31,0.321,0.681,0.555,0.038,0.498,0.585,0.591,0.155,False,125.0
88,h,tango,285216,86,0.383,0.565,0.642,0.799,0.688,0.092,0.804,0.972,True,93.0
89,P,funk,211660,28,0.095,0.876,0.43,0.408,0.492,0.769,0.26,0.898,False,132.0
90,k,tango,224276,33,0.222,0.503,0.554,0.429,0.704,0.212,0.416,1.0,False,111.0
91,G,kids,180510,4,0.304,0.647,0.634,0.274,0.424,0.428,0.769,0.633,True,106.0
92,c,country,100822,86,0.892,0.537,0.57,0.018,0.004,0.441,0.887,0.047,True,137.0
93,F,mpb,271285,89,0.932,0.422,0.496,0.65,0.868,0.071,0.857,0.611,False,82.0
94,M,turkish,147500,0,0.938,0.164,0.628,0.501,0.442,0.965,0.207,0.536,False,104.0
95,S,blues,276964,45,0.761,0.957,0.678,0.126,0.995,0.377,0.069,0.167,True,118.0
96,M,pagode,121949,54,0.476,0.114,0.795,0.487,0.515,0.261,0.198,0.385,False,100.0
97,K,anime,267608,58,0.261,0.91,0.44,0.315,0.583,0.801,0.66,0.638,False,122.0
98,i,world-music,148602,99,0.513,0.984,0.694,0.932,0.952,0.216,0.996,0.347,False,102.0
99,y,iranian,226562,51,0.778,0.801,0.622,0.82,0.498,0.193,0.595,0.238,False,126.0
100,r,french,305532,76,0.593,0.397,0.785,0.791,0.225,0.661,0.888,0.666,False,81.0
101,u,piano,266671,62,0.808,0.317,0.759,0.394,0.094,0.892,0.127,0.019,True,76.0
102,c,blues,313632,5,0.428,0.001,0.219,0.784,0.359,0.524,0.733,0.123,False,81.0
103,f,piano,112987,63,0.673,0.438,0.618,0.104,0.866,0.326,0.848,0.272,False,126.0
104,Y,singer-songwriter,48084,5,0.5,0.64,0.157,0.716,0.266,0.022,0.477,0.396,False,100.0
105,v,classical,194226,70,0.63,0.527,0.201,0.654,0.562,0.864,0.142,0.244,False,115.0
106,c,trip-hop,84959,38,0.074,0.799,0.228,0.599,0.903,0.299,0.45,0.28,False,103.0
107,o,heavy-metal,293579,94,0.909,0.353,0.602,0.725,0.594,0.076,0.278,0.603,False,102.0
108,M,comedy,158815,23,0.444,0.58,0.399,0.69,0.324,0.931,0.136,0.019,False,80.0
109,X,dubstep,100412,66,0.002,0.783,0.919,0.9,0.876,0.9,0.306,0.658,True,128.0
110,F,spanish,30874,19,0.634,0.692,0.099,0.946,0.142,0.339,0.293,0.248,False,99.0
111,V,disney,85917,2,0.427,0.481,0.16,0.415,0.282,0.195,0.638,0.75,False,135.0
112,h,punk-rock,33006,9,0.044,0.781,0.819,0.423,0.089,0.349,0.017,0.112,False,71.0
113,X,idm,147879,6,0.342,0.63,0.57,0.205,0.574,0.88,0.729,0.277,False,114.0
114,o,indie-pop,41846,72,0.756,0.706,0.701,0.438,0.821,0.434,0.361,0.421,False,129.0
115,R,study,272420,77,0.248,0.135,0.263,0.683,0.805,0.309,0.267,0.261,False,87.0
116,S,pagode,309041,66,0.004,0.408,0.815,0.686,0.118,0.516,0.313,0.661,False,118.0
117,K,iranian,115213,44,0.026,0.051,0.367,0.809,0.805,0.536,0.278,0.8,False,72.0
118,V,singer-songwriter,116306,29,0.735,0.982,0.992,0.828,0.197,0.696,0.53,0.851,False,135.0
119,N,blues,129252,19,0.703,0.068,0.467,0.839,0.742,0.109,0.746,0.413,False,119.0
120,I,heavy-metal,178662,77,0.68,0.319,0.107,0.333,0.091,0.878,0.635,0.504,True,112.0
121,r,british,135400,20,0.74,0.911,0.509,0.184,0.982,0.605,0.555,0.927,False,136.0
122,i,trip-hop,235722,88,0.539,0.625,0.685,0.835,0.487,0.264,0.827,0.612,False,104.0
123,P,techno,45381,68,0.09,0.477,0.125,0.828,0.679,0.841,0.95,0.752,False,88.0
124,b,turkish,188173,57,0.134,0.33,0.954,0.409,0.106,0.221,0.996,0.389,False,140.0
125,X,breakbeat,314037,58,0.678,0.593,0.007,0.304,0.145,0.375,0.069,0.897,False,129.0
126,t,j-rock,120288,54,0.279,0.686,0.215,0.531,0.965,0.011,0.232,0.036,False,133.0
127,O,r-n-b,217943,64,0.117,0.131,0.701,0.314,0.658,0.047,0.789,0.024,False,135.0
128,h,party,49415,38,0.225,0.759,0.845,0.516,0.264,0.909,0.104,0.534,False,74.0
129,f,children,256841,51,0.109,0.73,0.18,0.95,0.207,0.73,0.233,0.128,True,107.0
130,L,malay,127638,7,0.08,0.536,0.44,0.877,0.29,0.87,0.926,0.57,False,108.0
131,t,reggaeton,61532,73,0.736,0.443,0.841,0.007,0.82,0.639,0.199,0.401,True,124.0
132,t,ambient,237941,20,0.596,0.699,0.467,0.983,0.779,0.078,0.745,0.589,False,108.0
133,h,hard-rock,316429,67,0.018,0.751,0.059,0.797,0.193,0.61,0.647,0.199,False,94.0
134,T,hard-rock,129865,67,0.027,0.484,0.334,0.695,0.699,0.513,0.09,0.898,False,135.0
135,c,children,270199,70,0.148,0.321,0.187,0.0,0.063,0.284,0.625,0.973,False,75.0
136,M,j-pop,275172,89,0.899,0.235,0.277,0.086,0.562,0.592,0.387,0.855,False,138.0
137,y,salsa,208149,81,0.912,0.135,0.994,0.566,0.36,0.901,0.316,0.559,True,107.0
138,x,club,234637,78,0.781,0.052,0.411,0.82,0.342,0.588,0.805,0.681,False,138.0
139,S,salsa,295547,94,0.22,0.561,0.828,0.02,0.829,0.261,0.628,0.218,False,85.0
140,c,dancehall,123756,72,0.221,0.306,0.794,0.996,0.44,0.01,0.214,0.203,False,113.0
141,a,latino,288848,53,0.453,0.101,0.109,0.187,0.292,0.889,0.814,0.829,False,75.0
142,F,rock,214721,24,0.958,0.748,0.731,0.452,0.188,0.501,0.643,0.493,False,120.0
143,d,mandopop,232528,41,0.89,0.669,0.239,0.668,0.878,0.465,0.176,0.315,False,79.0
144,z,hard-rock,124128,4,0.704,0.865,0.497,0.924,0.912,0.039,0.264,0.483,False,81.0
145,U,indie-pop,138351,80,0.925,0.802,0.319,0.016,0.311,0.042,0.66,0.971,False,103.0
146,m,singer-songwriter,176498,48,0.101,0.201,0.103,0.81,0.231,0.202,0.861,0.213,True,139.0
147,i,soul,119439,28,0.855,0.946,0.362,0.816,0.21,0.717,0.45,0.832,False,131.0
148,W,grindcore,52239,86,0.289,0.945,0.403,0.393,0.066,0.889,0.437,0.439,True,81.0
149,B,jazz,156742,88,0.833,0.639,0.261,0.637,0.0,0.14,0.286,0.331,True,100.0
150,C,comedy,76479,89,0.571,0.41,0.963,0.4,0.677,0.821,0.197,0.505,False,111.0
151,u,indie,167987,96,0.616,0.813,0.649,0.174,0.569,0.631,0.766,0.302,False,91.0
152,d,children,204643,43,0.438,0.322,0.606,0.666,0.567,0.075,0.813,0.324,False,124.0
153,x,industrial,207456,1,0.861,0.516,0.157,0.525,0.014,0.158,0.013,0.438,False,108.0
154,T,idm,143643,12,0.673,0.893,0.441,0.696,0.551,0.07,0.87,0.51,True,78.0
155,m,disney,167180,20,0.403,0.393,0.083,0.881,0.52,0.773,0.656,0.09,False,81.0
156,Q,trance,79644,3,0.986,0.268,0.571,0.966,0.159,0.791,0.059,0.957,False,124.0
157,P,goth,99677,15,0.645,0.766,0.692,0.211,0.079,0.624,0.566,0.567,False,102.0
158,P,j-rock,66905,0,0.006,0.933,0.005,0.641,0.968,0.962,0.235,0.355,True,135.0
159,d,kids,60535,61,0.911,0.207,0.676,0.432,0.589,0.652,0.316,0.559,False,84.0
160,x,hardstyle,265493,97,0.92,0.661,0.336,0.445,0.124,0.691,0.941,0.004,False,73.0
161,c,techno,155221,19,0.168,0.416,0.789,0.651,0.135,0.482,0.199,0.079,False,128.0
162,B,acoustic,265303,54,0.363,0.722,0.854,0.044,0.193,0.974,0.558,0.11,False,95.0
163,K,deep-house,48409,94,0.52,0.166,0.37,0.584,0.39,0.087,0.976,0.65,False,94.0
164,m,dubstep,202181,96,0.772,0.786,0.937,0.566,0.394,0.152,0.064,0.166,False,89.0
165,a,hardcore,143696,26,0.664,0.45,0.383,0.885,0.181,0.835,0.524,0.865,False,139.0
166,a,j-rock,45178,15,0.696,0.305,0.886,0.204,0.024,0.382,0.557,0.347,False,100.0
167,p,house,273993,20,0.143,0.722,0.265,0.07,0.737,0.801,0.246,0.51,False,98.0
168,p,techno,216795,33,0.828,0.368,0.771,0.317,0.86,0.097,0.997,0.181,False,139.0
169,i,show-tunes,100560,39,0.967,0.271,0.551,0.272,0.06,0.514,0.019,0.128,False,132.0
170,U,punk-rock,289241,3,0.79,0.355,0.786,0.637,0.874,0.634,0.231,0.308,False,80.0
171,i,punk,161239,21,0.179,0.105,0.056,0.423,0.389,0.502,0.645,0.986,True,126.0
172,m,swedish,160674,40,0.076,0.143,0.544,0.847,0.777,0.32,0.65,0.899,False,98.0
173,x,party,260656,60,0.758,0.587,0.713,0.715,0.569,0.976,0.54,0.136,False,122.0
174,k,samba,312528,57,0.595,0.216,0.976,0.468,0.364,0.396,0.898,0.062,True,115.0
175,x,emo,41775,13,0.591,0.931,0.578,0.947,0.344,0.205,0.736,0.19,False,132.0
176,c,party,108940,37,0.207,0.89,0.164,0.454,0.707,0.81,0.795,0.881,False,118.0
177,G,gospel,307189,88,0.965,0.197,0.592,0.111,0.577,0.555,0.472,0.765,False,74.0
178,T,songwriter,152280,83,0.445,0.096,0.44,0.631,0.809,0.026,0.344,0.475,True,100.0
179,j,rockabilly,241381,53,0.676,0.818,0.495,0.851,0.501,0.892,0.897,0.503,False,101.0
180,w,metalcore,205894,85,0.69,0.206,0.366,0.656,0.835,0.381,0.101,0.173,False,105.0
181,f,grunge,207053,55,0.838,0.769,0.825,0.43,0.871,0.36,0.018,0.731,False,121.0
182,c,k-pop,315719,60,0.905,0.379,0.147,0.738,0.505,0.349,0.435,0.966,False,135.0
183,W,french,296507,67,0.853,0.197,0.277,0.399,0.83,0.514,0.976,0.325,True,75.0
184,G,heavy-metal,138863,10,0.839,0.147,0.077,0.784,0.344,0.865,0.49,0.535,False,72.0
185,W,jazz,233354,52,0.345,0.806,0.666,0.856,0.086,0.539,0.153,0.672,False,125.0
186,A,drum-and-bass,267576,99,0.722,0.936,0.76,0.044,0.842,0.237,0.65,0.709,False,85.0
187,y,children,151504,16,0.998,0.565,0.759,0.315,0.732,0.099,0.098,0.078,False,137.0
188,m,forro,136839,25,0.369,0.645,0.857,0.04,0.203,0.975,0.438,0.888,True,139.0
189,m,gospel,178746,76,0.384,0.285,0.721,0.155,0.96,0.867,0.545,0.615,False,115.0
190,m,pop,222896,46,0.147,0.294,0.346,0.301,0.235,0.26,0.235,0.125,False,135.0
191,k,dub,250251,67,0.084,0.073,0.542,0.289,0.94,0.928,0.945,0.815,False,121.0
192,H,heavy-metal,83613,82,0.67,0.0,0.495,0.045,0.743,0.396,0.375,0.378,False,108.0
193,z,electro,146556,18,0.296,0.901,0.599,0.397,0.064,0.373,0.854,0.786,False,139.0
194,D,sertanejo,280146,97,0.815,0.727,0.333,0.777,0.929,0.111,0.477,0.22,False,118.0
195,m,heavy-metal,215280,46,0.407,0.057,0.192,0.132,0.463,0.043,0.276,0.484,False,139.0
196,r,world-music,287530,79,0.313,0.026,0.783,0.229,0.521,0.379,0.954,0.447,False,139.0
197,L,trance,293751,85,0.803,0.028,0.222,0.688,0.876,0.373,0.696,0.238,False,133.0
198,O,honky-tonk,55016,64,0.017,0.105,0.326,0.77,0.573,0.364,0.521,0.986,True,80.0
199,V,electro,102970,13,0.489,0.641,0.468,0.445,0.817,0.262,0.945,0.627,False,121.0
200,v,acoustic,146148,15,0.016,0.747,0.254,0.181,0.807,0.282,0.083,0.544,False,72.0
201,h,bluegrass,125247,3,0.858,0.025,0.931,0.342,0.791,0.884,0.838,0.019,False,109.0
202,c,hard-rock,163740,53,0.488,0.482,0.332,0.649,0.336,0.674,0.008,0.878,False,127.0
203,z,tango,128858,5,0.686,0.443,0.854,0.728,0.472,0.728,0.233,0.254,False,108.0
204,J,grunge,73105,24,0.974,0.648,0.288,0.458,0.621,0.691,0.743,0.737,False,129.0
205,v,pagode,60223,32,0.025,0.4,0.385,0.766,0.744,0.949,0.464,0.742,False,113.0
206,Y,reggae,156418,23,0.705,0.452,0.012,0.493,0.826,0.562,0.352,0.787,True,72.0
207,A,hard-rock,45605,48,0.471,0.555,0.063,0.296,0.043,0.825,0.132,0.18,False,99.0
208,M,study,174691,11,0.409,0.669,0.755,0.902,0.707,0.08,0.509,0.053,False,88.0
209,W,reggae,170571,93,0.158,0.602,0.477,0.009,0.262,0.271,0.842,0.855,True,75.0
210,X,study,126056,72,0.013,0.065,0.499,0.171,0.376,0.367,0.911,0.316,False,118.0
211,T,world-music,319929,45,0.117,0.995,0.872,0.084,0.94,0.689,0.899,0.886,False,129.0
212,O,rock-n-roll,129541,46,0.897,0.82,0.672,0.908,0.761,0.435,0.258,0.064,False,121.0
213,w,idm,199488,57,0.858,0.644,0.759,0.138,0.762,0.156,0.668,0.24,False,95.0
214,k,sleep,96262,58,0.512,0.159,0.431,0.761,0.02,0.061,0.677,0.734,True,102.0
215,K,punk-rock,226393,45,0.573,0.208,0.877,0.472,0.949,0.664,0.589,0.293,True,140.0
216,y,sertanejo,94569,5,0.454,0.733,0.469,0.028,0.691,0.52,0.46,0.468,False,94.0
217,c,tango,91406,70,0.543,0.49,0.145,0.399,0.317,0.243,0.248,0.509,False,96.0
218,Y,cantopop,226404,83,0.829,0.695,0.857,0.623,0.871,0.49,0.844,0.802,True,104.0
219,j,indie-pop,150199,72,0.786,0.799,0.688,0.496,0.038,0.347,0.35,0.992,True,138.0
220,p,alternative,290492,30,0.006,0.981,0.847,0.263,0.601,0.913,0.129,0.814,False,97.0
221,l,psych-rock,34150,44,0.187,0.142,0.829,0.979,0.807,0.232,0.553,0.21,False,103.0
222,U,j-idol,210319,98,0.935,0.421,0.771,0.303,0.1,0.295,0.156,0.795,True,99.0
223,s,study,130467,85,0.507,0.246,0.227,0.895,0.345,0.687,0.384,0.575,True,74.0
224,Y,electronic,165167,14,0.608,0.537,0.579,0.434,0.156,0.045,0.437,0.609,False,133.0
225,S,dancehall,262986,70,0.403,0.466,0.059,0.527,0.997,0.762,0.883,0.106,False,99.0
226,U,death-metal,93465,88,0.123,0.291,0.51,0.182,0.21,0.851,0.168,0.599,False,108.0
227,J,dancehall,287906,76,0.438,0.762,0.188,0.94,0.342,0.84,0.073,0.422,False,135.0
228,i,groove,323317,83,0.029,0.005,0.428,0.046,0.246,0.473,0.948,0.396,False,111.0
229,J,reggaeton,70402,33,0.558,0.16,0.349,0.374,0.566,0.294,0.256,0.959,False,127.0
230,y,jazz,312282,79,0.576,0.578,0.818,0.312,0.834,0.564,0.994,0.954,False,97.0
231,e,psych-rock,293690,12,0.764,0.655,0.085,0.798,0.597,0.337,0.538,0.226,False,79.0
232,V,bluegrass,305374,31,0.327,0.687,0.989,0.905,0.8,0.366,0.554,0.126,True,129.0
233,J,blues,193204,56,0.422,0.459,0.542,0.807,0.896,0.472,0.267,0.346,False,131.0
234,P,salsa,60843,12,0.52,0.569,0.355,0.111,0.851,0.662,0.185,0.044,False,81.0
235,s,breakbeat,199764,48,0.811,0.181,0.982,0.46,0.947,0.286,0.304,0.668,True,86.0
236,E,indie-pop,258722,24,0.861,0.82,0.126,0.932,0.194,0.575,0.311,0.558,False,83.0
237,u,electronic,90073,50,0.819,0.286,0.272,0.242,0.706,0.456,0.143,0.131,False,77.0
238,H,punk,70171,24,0.141,0.095,0.291,0.484,0.198,0.888,0.233,0.583,False,131.0
239,X,trip-hop,149488,74,0.124,0.177,0.885,0.581,0.45,0.679,0.655,0.638,False,115.0
240,z,goth,284754,66,0.917,0.417,0.578,0.647,0.033,0.769,0.666,0.739,False,84.0
241,i,hip-hop,33094,84,0.38,0.634,0.041,0.935,0.333,0.498,0.064,0.62,False,118.0
242,F,gospel,87374,22,0.409,0.718,0.382,0.706,0.583,0.715,0.471,0.376,False,135.0
243,W,punk-rock,129608,2,0.567,0.627,0.441,0.417,0.011,0.207,0.064,0.624,False,131.0
244,T,spanish,58506,4,0.542,0.596,0.865,0.419,0.738,0.767,0.917,0.145,False,85.0
245,O,happy,280944,85,0.695,0.59,0.204,0.968,0.492,0.581,0.683,0.491,False,123.0
246,X,party,224262,20,0.062,0.269,0.479,0.977,0.876,0.423,0.847,0.155,False,84.0
247,f,kids,61489,55,0.964,0.518,0.984,0.954,0.883,0.698,0.463,0.701,True,120.0
248,F,folk,124309,83,0.992,0.962,0.589,0.14,0.401,0.252,0.249,0.394,False,134.0
249,B,hard-rock,189221,92,0.742,0.073,0.676,0.813,0.337,0.645,0.987,0.402,True,83.0
250,E,dub,280806,91,0.962,0.683,0.797,0.044,0.652,0.979,0.144,0.467,True,91.0
251,b,new-age,279500,18,0.625,0.195,0.847,0.293,0.739,0.108,0.869,0.29,True,81.0
252,O,deep-house,89156,21,0.736,0.227,0.581,0.581,0.897,0.21,0.627,0.841,False,115.0
253,e,forro,113686,50,0.623,0.534,0.843,0.013,0.704,0.685,0.924,0.727,True,102.0
254,e,french,197633,38,0.722,0.769,0.309,0.863,0.628,0.578,0.152,0.922,False,129.0
255,k,german,252620,34,0.547,0.179,0.205,0.039,0.395,0.009,0.753,0.681,False,113.0
256,u,edm,124011,66,0.68,0.444,0.087,0.076,0.217,0.836,0.454,0.555,False,104.0
257,F,guitar,48035,67,0.497,0.711,0.609,0.01,0.468,0.907,0.888,0.865,False,123.0
258,V,spanish,306004,50,0.106,0.893,0.662,0.338,0.282,0.098,0.215,0.634,False,119.0
259,f,blues,60954,35,0.702,0.188,0.867,0.358,0.13,0.387,0.273,0.064,False,126.0
260,I,alternative,98013,47,0.14,0.859,0.319,0.532,0.344,0.518,0.451,0.118,False,90.0
261,J,techno,293855,96,0.596,0.259,0.746,0.86,0.107,0.157,0.843,0.368,False,73.0
262,U,folk,218460,0,0.579,0.844,0.152,0.096,0.152,0.98,0.619,0.049,False,79.0
263,e,latino,77639,75,0.821,0.433,0.19,0.991,0.758,0.292,0.434,0.355,False,102.0
264,z,folk,147527,69,0.288,0.214,0.032,0.118,0.128,0.066,0.927,0.671,True,122.0
265,U,french,238528,90,0.234,0.064,0.319,0.688,0.052,0.143,0.563,0.574,False,77.0
266,A,hip-hop,240705,42,0.951,0.339,0.147,0.742,0.918,0.355,0.443,0.354,False,76.0
267,v,afrobeat,172845,5,0.519,0.058,0.999,0.693,0.418,0.671,0.482,0.076,False,96.0
268,t,club,75641,64,0.714,0.428,0.757,0.965,0.589,0.646,0.521,0.27,False,107.0
269,I,new-age,150381,14,0.87,0.576,0.476,0.508,0.713,0.879,0.94,0.6,False,94.0
270,j,edm,286622,52,0.095,0.62,0.709,0.738,0.475,0.843,0.988,0.774,True,97.0
271,h,rock-n-roll,94300,82,0.136,0.586,0.368,0.961,0.049,0.941,0.533,0.331,False,75.0
272,t,mandopop,81678,70,0.699,0.179,0.059,0.995,0.429,0.708,0.917,0.941,True,106.0
